Age,Male,Female,Total,Year,Country,,,,,
under 1 year,351137,333241,684378,2008,Ger,,,,,
1 year,350400,331728,682128,2008,Ger,,,,,
2 years,350611,332338,682949,2008,Ger,,,,,
3 years,358384,340306,698690,2008,Ger,,,,,
4 years,363590,345252,708842,2008,Ger,,,,,
5 years,367366,348772,716138,2008,Ger,,,,,
6 years,374781,355620,730401,2008,Ger,,,,,
7 years,386870,368585,755455,2008,Ger,,,,,
8 years,396585,377111,773696,2008,Ger,,,,,
9 years,402202,381109,783311,2008,Ger,,,,,
10 years,412572,391651,804223,2008,Ger,,,,,
11 years,415815,394288,810103,2008,Ger,,,,,
12 years,406012,385155,791167,2008,Ger,,,,,
13 years,402577,381794,784371,2008,Ger,,,,,
14 years,413642,392023,805665,2008,Ger,,,,,
15 years,426975,405699,832674,2008,Ger,,,,,
16 years,441441,419886,861327,2008,Ger,,,,,
17 years,473445,449538,922983,2008,Ger,,,,,
18 years,494443,470418,964861,2008,Ger,,,,,
19 years,501855,478514,980369,2008,Ger,,,,,
20 years,507882,484928,992810,2008,Ger,,,,,
21 years,501442,481753,983195,2008,Ger,,,,,
22 years,492572,476565,969137,2008,Ger,,,,,
23 years,488265,473270,961535,2008,Ger,,,,,
24 years,492944,478839,971783,2008,Ger,,,,,
25 years,504076,490143,994219,2008,Ger,,,,,
26 years,510767,498376,1009143,2008,Ger,,,,,
27 years,512719,501602,1014321,2008,Ger,,,,,
28 years,504245,492229,996474,2008,Ger,,,,,
29 years,490104,477626,967730,2008,Ger,,,,,
30 years,485455,472687,958142,2008,Ger,,,,,
31 years,480610,467974,948584,2008,Ger,,,,,
32 years,472275,458814,931089,2008,Ger,,,,,
33 years,470148,456941,927089,2008,Ger,,,,,
34 years,476103,464003,940106,2008,Ger,,,,,
35 years,503425,489029,992454,2008,Ger,,,,,
36 years,556111,537360,1093471,2008,Ger,,,,,
37 years,599053,575647,1174700,2008,Ger,,,,,
38 years,636819,609210,1246029,2008,Ger,,,,,
39 years,676526,645339,1321865,2008,Ger,,,,,
40 years,701124,669267,1370391,2008,Ger,,,,,
41 years,720313,687250,1407563,2008,Ger,,,,,
42 years,734423,697179,1431602,2008,Ger,,,,,
43 years,743679,705144,1448823,2008,Ger,,,,,
44 years,746695,710784,1457479,2008,Ger,,,,,
45 years,731691,699572,1431263,2008,Ger,,,,,
46 years,712234,686270,1398504,2008,Ger,,,,,
47 years,695290,673854,1369144,2008,Ger,,,,,
48 years,674336,654256,1328592,2008,Ger,,,,,
49 years,646481,627487,1273968,2008,Ger,,,,,
50 years,622430,605285,1227715,2008,Ger,,,,,
51 years,606901,593160,1200061,2008,Ger,,,,,
52 years,588396,579395,1167791,2008,Ger,,,,,
53 years,571143,569718,1140861,2008,Ger,,,,,
54 years,554094,559596,1113690,2008,Ger,,,,,
55 years,544211,552813,1097024,2008,Ger,,,,,
56 years,538273,548200,1086473,2008,Ger,,,,,
57 years,533561,544343,1077904,2008,Ger,,,,,
58 years,526001,535373,1061374,2008,Ger,,,,,
59 years,496318,502936,999254,2008,Ger,,,,,
60 years,459775,467719,927494,2008,Ger,,,,,
61 years,415763,426038,841801,2008,Ger,,,,,
62 years,362864,376227,739091,2008,Ger,,,,,
63 years,394089,412584,806673,2008,Ger,,,,,
64 years,451888,473255,925143,2008,Ger,,,,,
65 years,446850,470593,917443,2008,Ger,,,,,
66 years,482640,514789,997429,2008,Ger,,,,,
67 years,536116,580692,1116808,2008,Ger,,,,,
68 years,537857,591189,1129046,2008,Ger,,,,,
69 years,507630,565774,1073404,2008,Ger,,,,,
70 years,466047,527372,993419,2008,Ger,,,,,
71 years,434168,501873,936041,2008,Ger,,,,,
72 years,410030,484442,894472,2008,Ger,,,,,
73 years,377968,455931,833899,2008,Ger,,,,,
74 years,318387,393897,712284,2008,Ger,,,,,
75 years,273080,348470,621550,2008,Ger,,,,,
76 years,263679,347961,611640,2008,Ger,,,,,
77 years,260381,356552,616933,2008,Ger,,,,,
78 years,248866,354758,603624,2008,Ger,,,,,
79 years,230105,340835,570940,2008,Ger,,,,,
80 years,204562,323255,527817,2008,Ger,,,,,
81 years,174589,307744,482333,2008,Ger,,,,,
82 years,151416,298738,450154,2008,Ger,,,,,
83 years,126141,279713,405854,2008,Ger,,,,,
84 years,104135,254800,358935,2008,Ger,,,,,
85 years and over,459731,1308735,1768466,2008,Ger,,,,,
Total,40238595,41881181,82119776,2008,Ger,,,,,
under 1 year,345563,328428,673991,2009,Ger,,,,,
1 year,352806,334936,687742,2009,Ger,,,,,
2 years,350783,332126,682909,2009,Ger,,,,,
3 years,350672,332442,683114,2009,Ger,,,,,
4 years,358225,340187,698412,2009,Ger,,,,,
5 years,363217,344913,708130,2009,Ger,,,,,
6 years,366558,347924,714482,2009,Ger,,,,,
7 years,374249,355215,729464,2009,Ger,,,,,
8 years,386613,368422,755035,2009,Ger,,,,,
9 years,396358,376833,773191,2009,Ger,,,,,
10 years,401728,380732,782460,2009,Ger,,,,,
11 years,412353,391464,803817,2009,Ger,,,,,
12 years,415516,394127,809643,2009,Ger,,,,,
13 years,405913,385038,790951,2009,Ger,,,,,
14 years,402513,381689,784202,2009,Ger,,,,,
15 years,413696,392030,805726,2009,Ger,,,,,
16 years,427439,406138,833577,2009,Ger,,,,,
17 years,441660,420163,861823,2009,Ger,,,,,
18 years,474528,450835,925363,2009,Ger,,,,,
19 years,497110,473562,970672,2009,Ger,,,,,
20 years,505095,482976,988071,2009,Ger,,,,,
21 years,510863,488662,999525,2009,Ger,,,,,
22 years,504324,484682,989006,2009,Ger,,,,,
23 years,495304,478645,973949,2009,Ger,,,,,
24 years,490047,474483,964530,2009,Ger,,,,,
25 years,493895,478929,972824,2009,Ger,,,,,
26 years,503970,489426,993396,2009,Ger,,,,,
27 years,510199,497197,1007396,2009,Ger,,,,,
28 years,511515,500424,1011939,2009,Ger,,,,,
29 years,502518,491018,993536,2009,Ger,,,,,
30 years,488045,476100,964145,2009,Ger,,,,,
31 years,483420,471304,954724,2009,Ger,,,,,
32 years,478390,466762,945152,2009,Ger,,,,,
33 years,470084,457582,927666,2009,Ger,,,,,
34 years,467778,455796,923574,2009,Ger,,,,,
35 years,473683,462845,936528,2009,Ger,,,,,
36 years,500882,487894,988776,2009,Ger,,,,,
37 years,553545,536055,1089600,2009,Ger,,,,,
38 years,596200,574232,1170432,2009,Ger,,,,,
39 years,633969,607808,1241777,2009,Ger,,,,,
40 years,673572,643892,1317464,2009,Ger,,,,,
41 years,698310,667899,1366209,2009,Ger,,,,,
42 years,717158,685602,1402760,2009,Ger,,,,,
43 years,731030,695468,1426498,2009,Ger,,,,,
44 years,740190,703473,1443663,2009,Ger,,,,,
45 years,743104,709050,1452154,2009,Ger,,,,,
46 years,727916,697832,1425748,2009,Ger,,,,,
47 years,708357,684475,1392832,2009,Ger,,,,,
48 years,691214,672021,1363235,2009,Ger,,,,,
49 years,670210,652333,1322543,2009,Ger,,,,,
50 years,642314,625514,1267828,2009,Ger,,,,,
51 years,618213,603356,1221569,2009,Ger,,,,,
52 years,602482,591054,1193536,2009,Ger,,,,,
53 years,583796,577291,1161087,2009,Ger,,,,,
54 years,566512,567425,1133937,2009,Ger,,,,,
55 years,549270,557176,1106446,2009,Ger,,,,,
56 years,539248,550240,1089488,2009,Ger,,,,,
57 years,533069,545397,1078466,2009,Ger,,,,,
58 years,528106,541333,1069439,2009,Ger,,,,,
59 years,520170,532261,1052431,2009,Ger,,,,,
60 years,490109,499540,989649,2009,Ger,,,,,
61 years,453616,464303,917919,2009,Ger,,,,,
62 years,409706,422669,832375,2009,Ger,,,,,
63 years,357106,373096,730202,2009,Ger,,,,,
64 years,387622,408976,796598,2009,Ger,,,,,
65 years,443933,469070,913003,2009,Ger,,,,,
66 years,438605,466103,904708,2009,Ger,,,,,
67 years,473301,509679,982980,2009,Ger,,,,,
68 years,525113,574645,1099758,2009,Ger,,,,,
69 years,525839,584516,1110355,2009,Ger,,,,,
70 years,495384,558773,1054157,2009,Ger,,,,,
71 years,453972,520231,974203,2009,Ger,,,,,
72 years,421768,494248,916016,2009,Ger,,,,,
73 years,397056,476179,873235,2009,Ger,,,,,
74 years,364713,447158,811871,2009,Ger,,,,,
75 years,305976,385459,691435,2009,Ger,,,,,
76 years,261259,339783,601042,2009,Ger,,,,,
77 years,251071,338300,589371,2009,Ger,,,,,
78 years,246487,345252,591739,2009,Ger,,,,,
79 years,234196,342004,576200,2009,Ger,,,,,
80 years,214994,326881,541875,2009,Ger,,,,,
81 years,189847,308111,497958,2009,Ger,,,,,
82 years,160701,291237,451938,2009,Ger,,,,,
83 years,138206,280380,418586,2009,Ger,,,,,
84 years,113988,260127,374115,2009,Ger,,,,,
85 years and over,483235,1351664,1834899,2009,Ger,,,,,
Total,40133270,41741500,81874770,2009,Ger,,,,,
under 1 year,344107,327370,671477,2010,Ger,,,,,
1 year,348095,330912,679007,2010,Ger,,,,,
2 years,353764,335860,689624,2010,Ger,,,,,
3 years,351412,332816,684228,2010,Ger,,,,,
4 years,351147,332921,684068,2010,Ger,,,,,
5 years,358499,340451,698950,2010,Ger,,,,,
6 years,363036,344699,707735,2010,Ger,,,,,
7 years,366605,348069,714674,2010,Ger,,,,,
8 years,374564,355553,730117,2010,Ger,,,,,
9 years,387066,368698,755764,2010,Ger,,,,,
10 years,396563,377127,773690,2010,Ger,,,,,
11 years,402110,381110,783220,2010,Ger,,,,,
12 years,412627,391823,804450,2010,Ger,,,,,
13 years,416007,394587,810594,2010,Ger,,,,,
14 years,406435,385447,791882,2010,Ger,,,,,
15 years,403203,382265,785468,2010,Ger,,,,,
16 years,414972,393047,808019,2010,Ger,,,,,
17 years,428512,406994,835506,2010,Ger,,,,,
18 years,443759,422196,865955,2010,Ger,,,,,
19 years,478200,454868,933068,2010,Ger,,,,,
20 years,501503,479031,980534,2010,Ger,,,,,
21 years,509514,488016,997530,2010,Ger,,,,,
22 years,515145,492769,1007914,2010,Ger,,,,,
23 years,508724,488251,996975,2010,Ger,,,,,
24 years,499056,481620,980676,2010,Ger,,,,,
25 years,493187,476314,969501,2010,Ger,,,,,
26 years,496084,480033,976117,2010,Ger,,,,,
27 years,505433,490055,995488,2010,Ger,,,,,
28 years,511129,497737,1008866,2010,Ger,,,,,
29 years,512112,500638,1012750,2010,Ger,,,,,
30 years,502820,491091,993911,2010,Ger,,,,,
31 years,488301,476094,964395,2010,Ger,,,,,
32 years,483320,471518,954838,2010,Ger,,,,,
33 years,478257,466801,945058,2010,Ger,,,,,
34 years,469645,457665,927310,2010,Ger,,,,,
35 years,467264,455771,923035,2010,Ger,,,,,
36 years,473284,462766,936050,2010,Ger,,,,,
37 years,500097,487668,987765,2010,Ger,,,,,
38 years,552630,535629,1088259,2010,Ger,,,,,
39 years,595165,573960,1169125,2010,Ger,,,,,
40 years,632813,607445,1240258,2010,Ger,,,,,
41 years,672444,643540,1315984,2010,Ger,,,,,
42 years,696809,667215,1364024,2010,Ger,,,,,
43 years,715514,684930,1400444,2010,Ger,,,,,
44 years,729138,694701,1423839,2010,Ger,,,,,
45 years,737975,702598,1440573,2010,Ger,,,,,
46 years,740674,708172,1448846,2010,Ger,,,,,
47 years,725208,696664,1421872,2010,Ger,,,,,
48 years,705479,683336,1388815,2010,Ger,,,,,
49 years,688183,670656,1358839,2010,Ger,,,,,
50 years,666985,650922,1317907,2010,Ger,,,,,
51 years,638979,624080,1263059,2010,Ger,,,,,
52 years,614649,601841,1216490,2010,Ger,,,,,
53 years,598709,589368,1188077,2010,Ger,,,,,
54 years,579843,575433,1155276,2010,Ger,,,,,
55 years,562255,565442,1127697,2010,Ger,,,,,
56 years,544999,555036,1100035,2010,Ger,,,,,
57 years,534565,547951,1082516,2010,Ger,,,,,
58 years,528159,542928,1071087,2010,Ger,,,,,
59 years,522799,538706,1061505,2010,Ger,,,,,
60 years,514303,529134,1043437,2010,Ger,,,,,
61 years,484145,496380,980525,2010,Ger,,,,,
62 years,447722,461061,908783,2010,Ger,,,,,
63 years,403818,419581,823399,2010,Ger,,,,,
64 years,351369,370067,721436,2010,Ger,,,,,
65 years,381006,405420,786426,2010,Ger,,,,,
66 years,436171,464768,900939,2010,Ger,,,,,
67 years,430336,461648,891984,2010,Ger,,,,,
68 years,463911,504559,968470,2010,Ger,,,,,
69 years,513890,568469,1082359,2010,Ger,,,,,
70 years,513465,577651,1091116,2010,Ger,,,,,
71 years,483004,551635,1034639,2010,Ger,,,,,
72 years,441438,512840,954278,2010,Ger,,,,,
73 years,409083,486365,895448,2010,Ger,,,,,
74 years,383719,467495,851214,2010,Ger,,,,,
75 years,351079,437984,789063,2010,Ger,,,,,
76 years,293278,376206,669484,2010,Ger,,,,,
77 years,249152,330614,579766,2010,Ger,,,,,
78 years,238120,327776,565896,2010,Ger,,,,,
79 years,232357,333080,565437,2010,Ger,,,,,
80 years,219103,328366,547469,2010,Ger,,,,,
81 years,199780,311953,511733,2010,Ger,,,,,
82 years,174845,292031,466876,2010,Ger,,,,,
83 years,146981,273713,420694,2010,Ger,,,,,
84 years,125100,261016,386116,2010,Ger,,,,,
85 years and over,513164,1396584,1909748,2010,Ger,,,,,
Total,40099871,41657600,81757471,2010,Ger,,,,,
under 1 year,341619,325140,666759,2011,Ger,,,,,
1 year,344784,327887,672671,2011,Ger,,,,,
2 years,347773,330361,678134,2011,Ger,,,,,
3 years,353198,335370,688567,2011,Ger,,,,,
4 years,350559,331970,682529,2011,Ger,,,,,
5 years,349963,331705,681668,2011,Ger,,,,,
6 years,356828,338889,695717,2011,Ger,,,,,
7 years,361763,343627,705390,2011,Ger,,,,,
8 years,365524,346958,712482,2011,Ger,,,,,
9 years,373877,354153,728029,2011,Ger,,,,,
10 years,386703,366788,753491,2011,Ger,,,,,
11 years,395814,375668,771482,2011,Ger,,,,,
12 years,400824,380498,781322,2011,Ger,,,,,
13 years,411135,391204,802339,2011,Ger,,,,,
14 years,414124,393620,807744,2011,Ger,,,,,
15 years,404535,384070,788605,2011,Ger,,,,,
16 years,401486,381028,782514,2011,Ger,,,,,
17 years,411073,390225,801298,2011,Ger,,,,,
18 years,421724,401842,823566,2011,Ger,,,,,
19 years,435633,416751,852383,2011,Ger,,,,,
20 years,470002,450358,920359,2011,Ger,,,,,
21 years,492456,473194,965649,2011,Ger,,,,,
22 years,499447,480291,979737,2011,Ger,,,,,
23 years,505755,485829,991584,2011,Ger,,,,,
24 years,499192,481828,981020,2011,Ger,,,,,
25 years,488272,474316,962588,2011,Ger,,,,,
26 years,481719,468709,950428,2011,Ger,,,,,
27 years,484482,472616,957098,2011,Ger,,,,,
28 years,493476,482522,975998,2011,Ger,,,,,
29 years,498104,490352,988456,2011,Ger,,,,,
30 years,496210,492592,988801,2011,Ger,,,,,
31 years,486091,483133,969224,2011,Ger,,,,,
32 years,472659,469463,942122,2011,Ger,,,,,
33 years,468971,465155,934126,2011,Ger,,,,,
34 years,463284,460353,923637,2011,Ger,,,,,
35 years,453286,450753,904039,2011,Ger,,,,,
36 years,451245,448891,900136,2011,Ger,,,,,
37 years,457435,456180,913615,2011,Ger,,,,,
38 years,481789,478893,960682,2011,Ger,,,,,
39 years,530809,524796,1055604,2011,Ger,,,,,
40 years,569416,561661,1131077,2011,Ger,,,,,
41 years,604945,593944,1198889,2011,Ger,,,,,
42 years,644964,630533,1275497,2011,Ger,,,,,
43 years,670862,655674,1326536,2011,Ger,,,,,
44 years,692095,675547,1367642,2011,Ger,,,,,
45 years,706069,686576,1392645,2011,Ger,,,,,
46 years,715671,695340,1411011,2011,Ger,,,,,
47 years,719751,700810,1420561,2011,Ger,,,,,
48 years,705139,689146,1394285,2011,Ger,,,,,
49 years,687641,676325,1363966,2011,Ger,,,,,
50 years,670713,662253,1332966,2011,Ger,,,,,
51 years,650609,643126,1293735,2011,Ger,,,,,
52 years,624176,617608,1241784,2011,Ger,,,,,
53 years,599342,594781,1194122,2011,Ger,,,,,
54 years,583377,582136,1165513,2011,Ger,,,,,
55 years,564242,568192,1132433,2011,Ger,,,,,
56 years,546734,558461,1105194,2011,Ger,,,,,
57 years,529769,548089,1077858,2011,Ger,,,,,
58 years,519450,540571,1060021,2011,Ger,,,,,
59 years,513483,535386,1048869,2011,Ger,,,,,
60 years,507501,530286,1037786,2011,Ger,,,,,
61 years,499243,521059,1020302,2011,Ger,,,,,
62 years,470301,489226,959527,2011,Ger,,,,,
63 years,434139,453383,887522,2011,Ger,,,,,
64 years,391245,412493,803737,2011,Ger,,,,,
65 years,338911,362907,701818,2011,Ger,,,,,
66 years,367582,397801,765383,2011,Ger,,,,,
67 years,421732,456625,878357,2011,Ger,,,,,
68 years,415299,452362,867661,2011,Ger,,,,,
69 years,447244,494457,941700,2011,Ger,,,,,
70 years,495095,557610,1052705,2011,Ger,,,,,
71 years,494689,566987,1061676,2011,Ger,,,,,
72 years,464787,541145,1005932,2011,Ger,,,,,
73 years,423329,501577,924906,2011,Ger,,,,,
74 years,390346,474055,864400,2011,Ger,,,,,
75 years,364681,454283,818963,2011,Ger,,,,,
76 years,332180,424444,756624,2011,Ger,,,,,
77 years,275828,362917,638745,2011,Ger,,,,,
78 years,232749,317794,550543,2011,Ger,,,,,
79 years,220694,313723,534417,2011,Ger,,,,,
80 years,213401,317217,530617,2011,Ger,,,,,
81 years,200336,311449,511785,2011,Ger,,,,,
82 years,180951,293690,474641,2011,Ger,,,,,
83 years,156290,272066,428356,2011,Ger,,,,,
84 years,129498,252576,382073,2011,Ger,,,,,
85 years and over,487182,1411464,1898639,2011,Ger,,,,,
Total,39177274,41097709,80274983,2011,Ger,,,,,
under 1 year,341739,324633,666372,2012,Ger,,,,,
1 year,344630,327913,672542,2012,Ger,,,,,
2 years,347061,329884,676945,2012,Ger,,,,,
3 years,349665,332181,681846,2012,Ger,,,,,
4 years,354799,336912,691711,2012,Ger,,,,,
5 years,351996,333335,685331,2012,Ger,,,,,
6 years,350956,332641,683596,2012,Ger,,,,,
7 years,358048,340056,698104,2012,Ger,,,,,
8 years,363007,344786,707793,2012,Ger,,,,,
9 years,366867,348128,714995,2012,Ger,,,,,
10 years,375178,355289,730467,2012,Ger,,,,,
11 years,387999,367946,755945,2012,Ger,,,,,
12 years,397157,376823,773979,2012,Ger,,,,,
13 years,402015,381617,783632,2012,Ger,,,,,
14 years,412382,392319,804701,2012,Ger,,,,,
15 years,415669,394825,810494,2012,Ger,,,,,
16 years,406755,385661,792416,2012,Ger,,,,,
17 years,403531,382525,786056,2012,Ger,,,,,
18 years,414813,393452,808265,2012,Ger,,,,,
19 years,427879,407917,835796,2012,Ger,,,,,
20 years,442948,424281,867229,2012,Ger,,,,,
21 years,477761,457703,935464,2012,Ger,,,,,
22 years,500682,480434,981115,2012,Ger,,,,,
23 years,508670,488229,996899,2012,Ger,,,,,
24 years,514792,492881,1007673,2012,Ger,,,,,
25 years,507776,488168,995944,2012,Ger,,,,,
26 years,496367,479883,976250,2012,Ger,,,,,
27 years,489109,473731,962840,2012,Ger,,,,,
28 years,491395,477079,968474,2012,Ger,,,,,
